.SPX
A
AAL.O
AAP
AAPL.O
ABBV.K
ABC
ABMD.O
ABT
ACN
ADBE.O
ADI.O
ADM
ADP.O
ADSK.O
AEE
AEP.O
AES
AFL
AIG
AIV
AIZ
AJG
AKAM.O
ALB
ALGN.O
ALK
ALL
ALLE.K
ALXN.O
AMAT.O
AMCR.K
AMD.O
AME
AMGN.O
AMP
AMT
AMZN.O
ANET.K
ANSS.O
ANTM.K
AON
AOS
APA.O
APD
APH
APTV.K
ARE
ATO
ATVI.O
AVB
AVGO.O
AVY
AWK
AXP
AZO
BA
BAC
BAX
BBY
BDX
BEN
BFb
BIIB.O
BIO
BK
BKNG.O
BKR
BLK
BLL
BMY
BR
BRKb
BSX
BWA
BXP
C
CAG
CAH
CARR.K
CAT
CB
CBOE.K
CBRE.K
CCI
CCL
CDNS.O
CDW.O
CE
CERN.O
CF
CFG
CHD
CHRW.O
CHTR.O
CI
CINF.O
CL
CLX
CMA
CMCSA.O
CME.O
CMG
CMI
CMS
CNC
CNP
COF
COG
COO
COP
COST.O
CPB
CPRT.O
CRM
CSCO.O
CSX.O
CTAS.O
CTLT.K
CTSH.O
CTVA.K
CTXS.O
CVS
CVX
CXO
D
DAL
DD
DE
DFS
DG
DGX
DHI
DHR
DIS
DISCA.O
DISCK.O
DISH.O
DLR
DLTR.O
DOV
DOW
DPZ
DRE
DRI
DTE
DUK
DVA
DVN
DXC
DXCM.O
EA.O
EBAY.O
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQIX.O
EQR
ES
ESS
ETN
ETR
ETSY.O
EVRG.K
EW
EXC.O
EXPD.O
EXPE.O
EXR
F
FANG.O
FAST.O
FB.O
FBHS.K
FCX
FDX
FE
FFIV.O
FIS
FISV.O
FITB.O
FLIR.O
FLS
FLT
FMC
FOX.O
FOXA.O
FRC
FRT
FTI
FTNT.O
FTV
GD
GE
GILD.O
GIS
GL
GLW
GM
GOOG.O
GOOGL.O
GPC
GPN
GPS
GRMN.O
GS
GWW
HAL
HAS.O
HBAN.O
HBI
HCA
HD
HES
HFC
HIG
HII
HLT
HOLX.O
HON
HPE
HPQ
HRL
HSIC.O
HST.O
HSY
HUM
HWM
IBM
ICE
IDXX.O
IEX
IFF
ILMN.O
INCY.O
INFO.K
INTC.O
INTU.O
IP
IPG
IPGP.O
IQV
IR
IRM
ISRG.O
IT
ITW
IVZ
J
JBHT.O
JCI
JKHY.O
JNJ
JNPR.K
JPM
K
KEY
KEYS.K
KHC.O
KIM
KLAC.O
KMB
KMI
KMX
KO
KR
KSU
L
LB
LDOS.K
LEG
LEN
LH
LHX
LIN
LKQ.O
LLY
LMT
LNC
LNT.O
LOW
LRCX.O
LUMN.K
LUV
LVS
LW
LYB
LYV
MA
MAA
MAR.O
MAS
MCD
MCHP.O
MCK
MCO
MDLZ.O
MDT
MET
MGM
MHK
MKC
MKTX.O
MLM
MMC
MMM
MNST.O
MO
MOS
MPC
MRK
MRO
MS
MSCI.K
MSFT.O
MSI
MTB
MTD
MU.O
MXIM.O
NCLH.K
NDAQ.O
NEE
NEM
NFLX.O
NI
NKE
NLOK.O
NLSN.K
NOC
NOV
NOW
NRG
NSC
NTAP.O
NTRS.O
NUE
NVDA.O
NVR
NWL.O
NWS.O
NWSA.O
O
ODFL.O
OKE
OMC
ORCL.K
ORLY.O
OTIS.K
OXY
PAYC.K
PAYX.O
PBCT.O
PCAR.O
PEAK.K
PEG
PEP.O
PFE
PFG.O
PG
PGR
PH
PHM
PKG
PKI
PLD
PM
PNC
PNR
PNW
POOL.O
PPG
PPL
PRGO.K
PRU
PSA
PSX
PVH
PWR
PXD
PYPL.O
QCOM.O
QRVO.O
RCL
RE
REG.O
REGN.O
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST.O
RSG
RTX
SBAC.O
SBUX.O
SCHW.K
SEE
SHW
SIVB.O
SJM
SLB
SLG
SNA
SNPS.O
SO
SPG
SPGI.K
SRE
STE
STT
STX.O
STZ
SWK
SWKS.O
SYF
SYK
SYY
T
TAP
TDG
TDY
TEL
TER.O
TFC
TFX
TGT
TIF
TJX
TMO
TMUS.O
TPR
TROW.O
TRV
TSCO.O
TSN
TT
TTWO.O
TWTR.K
TXN.O
TXT
TYL
UA
UAA
UAL.O
UDR
UHS
ULTA.O
UNH
UNM
UNP
UPS
URI
USB
V
VAR
VFC
VIAC.O
VLO
VMC
VNO
VNT
VRSK.O
VRSN.O
VRTX.O
VTR
VTRS.O
VZ
WAB
WAT
WBA.O
WDC.O
WEC
WELL.K
WFC
WHR
WLTW.O
WM
WMB
WMT
WRB
WRK
WST
WU
WY
WYNN.O
XEL.O
XLNX.O
XOM
XRAY.O
XRX
XYL
YUM
ZBH
ZBRA.O
ZION.O
ZTS
